year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2016,303,8.0,6.975327038979662,6.919836509177656,1.4196844420000003,0.7089040006043005,37.4933361545601,39.304512106801305,0.08579265070101637,0.1472265887896791,0.0,-0.40473170045040385,17.688366642306338,17.750649969761298,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.026694187482986752,0.026694187482986752,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,8.5,6.379775552894481,6.389544139966364,1.59938729,0.7986366652010336,37.32900494958371,40.17339603584259,0.0766983026931077,0.15533940745510452,0.0,-0.4410166337344118,17.894664034649548,17.963602417574904,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.02532378578158132,0.02532378578158132,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,9.0,29.29796580800938,28.306633193520454,4.011924074,2.003310694996898,35.591453778917646,34.09195416529897,0.291273712582745,0.22719452562762799,0.0,-0.5135865003024276,21.298476413392862,21.492816826840773,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.17338668263239818,0.17338668263239818,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,9.5,31.419116311157037,29.522605630541086,3.851369272,1.9231393991181538,35.05692633274569,32.07335555158395,0.29830565803253617,0.18912752482689332,0.0,-0.5135865003024276,21.756739256981334,21.947959804971553,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.19174274154198329,0.19174274154198329,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,10.0,27.415071587298144,24.379079914515003,3.716209728,1.8556489493908381,33.29200583976902,27.33074166928389,0.2136162958978338,0.11322413594934826,0.0,-0.5135865003024276,22.923221375333206,23.099547086492343,False,False,5.081387900675947,0.997180730645845,0.997180730645845,0.0,0.0,0.1505523284922212,0.1505523284922212,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,10.5,27.529950959095977,25.457618633498257,5.023393556,2.508376990763883,32.743330391931934,29.335069074986787,0.2036890175736393,0.13508983627142124,0.0,-0.5498714335864354,23.819132548296576,24.050765911335375,False,False,5.081387900675947,0.9966370706011456,0.9966370706011456,0.0,0.0,0.15845465896823913,0.15845465896823913,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,11.0,11.39225825220521,10.136270679102521,2.435446542,1.2161137685283652,32.95527916398267,32.37803694788963,0.08403980864440053,0.06671101670667867,0.0,-0.4410166337344118,22.74449524232355,22.854895591898202,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.06012637956333703,0.06012637956333703,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,11.5,9.93721525991404,9.633976342448323,3.346470614,1.6710237401962942,33.023370964929015,35.90694533591184,0.07240526192052552,0.09146446266807157,0.0,-0.4773015670184197,23.000155881137395,23.147804392671965,False,False,5.081387900675947,0.9976669678194982,0.9976669678194982,0.0,0.0,0.053143924239172025,0.053143924239172025,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,12.0,2.1993143006886853,2.0664570394980357,2.259478174,1.1282458759428309,33.51762166868306,25.915287337426555,0.04103495308041255,0.07073889951593437,0.0,-0.4410166337344118,21.82827450500603,21.926830170167534,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.011320249356269609,0.011320249356269609,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,12.5,1.0631696265597728,0.9081137999831991,2.077581136,1.0374175664104563,34.24272291017387,25.189021230336188,0.02790179754738606,0.07858946838383615,0.0,-0.4410166337344118,21.223019858275144,21.312691083587154,False,False,5.081387900675947,0.9980981297404197,0.9980981297404197,0.0,0.0,0.006006901378786957,0.006006901378786957,0.079,0.079,-0.36844676716639596,-0.36844676716639596
