year,doy,hod,A(pmax),E(pmax),Ci(pmax),gs(pmax),Pleaf(pmax),Tleaf(pmax),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(pmax),Es(pmax),sw(pmax),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[MPa],[degC],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
2016.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016,303,6.0,-2.2533959732179283,0.40034290651200083,22.013934619777896,0.012762598878243533,-0.03564977988411399,19.187990506325335,False,6.01063392215407,0.999997158736062,0.999997158736062,0.0,0.0,0.112,-0.03564977988411399
2016,303,6.5,-1.7241330256996674,0.5060311913034732,22.361134250549632,0.02482240248664536,-0.0736070598378821,19.61050878655174,False,6.01063392215407,0.9999814616268387,0.9999814616268387,0.0,0.0,0.112,-0.03564977988411399
2016,303,7.0,-1.1268424973277726,0.33138822825249925,21.34613897477167,0.023623474814182102,-0.03673320302919571,19.704613206196903,False,6.010632546886653,0.9999969299309929,0.9999969299309929,0.0,0.003650374619603474,0.1115,-0.03673320302919571
2016,303,7.5,0.769223801012348,0.5677493064646207,23.09845613978409,0.050995419672907744,-0.07580084557015776,19.891796974920382,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.01866849096374706,0.111,-0.037854645342310235
2016,303,8.0,3.582615287938331,0.7713798328590395,39.200258999964355,0.05757362336235575,-0.07580084557015776,21.028104505676346,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.04177000339175591,0.111,-0.037854645342310235
2016,303,8.5,3.1431075286905887,0.835345583313391,25.699726461665158,0.13449306901657843,-0.07580084557015776,21.165970299812585,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.04456911876386062,0.111,-0.037854645342310235
2016,303,9.0,29.10602483887646,3.4449546633389905,37.58050428220767,0.48027357801098014,-0.18963944625370036,24.39873729888775,False,6.010631053928128,0.9997855490459115,0.9997855490459115,0.0,0.34953314992489865,0.111,-0.037854645342310235
2016,303,9.5,29.385548392927518,6.579132835957035,39.010207780484734,0.6557996620619113,-0.3414242471650905,24.520067369242817,False,6.010631053928128,0.9990186958460769,0.9990186958460769,0.0,0.3371133478128862,0.111,-0.037854645342310235
2016,303,10.0,20.1995081778934,7.36998157121062,39.54543482066786,0.4643498516226381,-0.37937044739293807,25.612995166895402,False,6.010631053928128,0.9987113244197088,0.9987113244197088,0.0,0.2216814912758102,0.111,-0.037854645342310235
2016,303,10.5,25.63896750311471,7.673746112338712,38.16708872278515,0.4133559004306585,-0.37937044739293807,26.483705479845444,False,6.010631053928128,0.9987113244197088,0.9987113244197088,0.0,0.3070574843358294,0.111,-0.037854645342310235
2016,303,11.0,6.2591247279088895,4.129319382674919,28.899570847847738,0.17527782555543833,-0.2275856464815479,25.335146996273508,False,6.010631053928128,0.9996562555701132,0.9996562555701132,0.0,0.09219015438544031,0.111,-0.037854645342310235
2016,303,11.5,3.672400535275153,1.9629702295504754,23.961088370820715,0.09954199418102086,-0.11374704579800529,26.027373934477495,False,6.010631053928128,0.9999428431892257,0.9999428431892257,0.0,0.07485982086878933,0.111,-0.037854645342310235
2016,303,12.0,-1.3130671078213654,2.7443444915094206,23.974218903973398,0.1720448699039472,-0.15169324602585282,24.710025024169866,False,6.010631053928128,0.9998796344145388,0.9998796344145388,0.0,0.01974290856366594,0.111,-0.037854645342310235
2016.0,303.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9998796344145388,0.9998796344145388,0.0,0.01083015316745983,0.11,-0.040217713132218724
2016,303,13.0,-0.13509074711449287,1.4939824694179729,23.75611845884633,0.11208342744053981,-0.11608636416288959,24.781629015876867,False,6.01062767123044,0.9999397524226272,0.9999397524226272,0.0,0.033236354612020506,0.11,-0.040217713132218724
2016,303,13.5,-1.8193795181019472,0.044306552378088615,10.567546105853149,0.0021509461441829754,-0.040217713132218724,26.01754589430206,False,6.01062767123044,0.999996118761585,0.999996118761585,0.0,0.06515875818366826,0.11,-0.040217713132218724
2016,303,14.0,0.6015393915921541,2.546261610368504,24.571504396524155,0.29448094428109794,-0.15402068967822502,24.840975549138378,False,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.039691762269428686,0.11,-0.040217713132218724
2016.0,303.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.005566401644582514,0.11,-0.040217713132218724
2016.0,303.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.0006936754898177936,0.11,-0.040217713132218724
2016,303,15.5,1.5244767647695243,1.1260580372319862,35.962792210679254,0.03703432512023264,-0.07815203864755416,23.925662751433357,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.03672190360069857,0.11,-0.040217713132218724
2016,303,16.0,-1.1825209291062133,0.9933264408936743,22.390480682972157,0.05238798878838946,-0.07815203864755416,24.169311371154862,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.02118336963740476,0.11,-0.040217713132218724
2016,303,16.5,-2.601707493029827,1.0418921714842964,22.64542053034243,0.1015545765074192,-0.07815203864755416,24.19594721605261,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.010420701674549662,0.11,-0.040217713132218724
2016.0,303.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.004038136298296049,0.11,-0.040217713132218724
2016.0,303.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.11,-0.040217713132218724
2016.0,303.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.1085,-0.04408758946698625
2016,304,5.0,-2.757456811816636,0.3293040829879568,10.425168891888301,2.4196012233419806e-07,-0.04547143795776919,18.909765167376545,False,6.010618949404005,0.9999946676997226,0.9999946676997226,0.0,0.0,0.108,-0.04547143795776919
2016,304,5.5,-1.0156222942219346,0.5247366661037597,29.841795860732905,0.008372498883826497,-0.08337936284584055,19.626682239211796,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.0033922236921889357,0.108,-0.04547143795776919
2016,304,6.0,0.505166909054032,0.7067600773727312,24.448055941927024,0.02373852382525503,-0.08337936284584055,20.44145654389656,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.01933736178389494,0.108,-0.04547143795776919
2016,304,6.5,2.2053718621968463,0.9576734520358072,26.419945044776405,0.10120625318825828,-0.08337936284584055,22.060980831681157,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.03975448215293642,0.108,-0.04547143795776919
2016,304,7.0,6.4667106508197,2.283383317110306,42.175546652253324,0.5160821597963337,-0.15919521262198327,23.11959278797582,False,6.010618949404005,0.9998636255468792,0.9998636255468792,0.0,0.0760740811424286,0.108,-0.04547143795776919
2016,304,7.5,9.515144570591069,4.906253476608294,42.50448425980865,1.0801838443367107,-0.27291898728619735,23.323964851026393,False,6.010618949404005,0.9994501048370308,0.9994501048370308,0.0,0.1019690608808685,0.108,-0.04547143795776919
2016,304,8.0,9.463080724778752,5.17296240998148,35.600483845842234,0.7864838022323694,-0.27291898728619735,24.169164338301222,False,6.010618949404005,0.9994501048370308,0.9994501048370308,0.0,0.10200028333608867,0.108,-0.04547143795776919
2016,304,8.5,12.926775983140068,5.1511948212743475,40.54461616760399,0.3730405271988929,-0.27291898728619735,25.65406531572934,False,6.010618949404005,0.9994501048370308,0.9994501048370308,0.0,0.14811243756859443,0.108,-0.04547143795776919
2016,304,9.0,12.212541997271325,5.173179329650684,40.066362560135204,0.36273214624695116,-0.27291898728619735,26.442297067197167,False,6.010618949404005,0.9994501048370308,0.9994501048370308,0.0,0.1430985966407729,0.108,-0.04547143795776919
2016,304,9.5,7.897805933882121,4.499898003723315,29.30360709981498,0.1882689519522983,-0.23501106239812597,27.239123119843885,False,6.010618949404005,0.9996264906389238,0.9996264906389238,0.0,0.12604130199741886,0.108,-0.04547143795776919
2016,304,10.0,6.44609361687923,2.247800330384424,24.351025301860492,0.07213376244067443,-0.15919521262198327,28.985599722086853,False,6.010618949404005,0.9998636255468792,0.9998636255468792,0.0,0.14648868096969306,0.108,-0.04547143795776919
2016,304,10.5,5.764487004404605,3.532845145382567,25.714503675921843,0.11138114679073893,-0.1971031375100546,29.106736728527906,False,6.010618949404005,0.9997630293718759,0.9997630293718759,0.0,0.1289368157557561,0.108,-0.04547143795776919
2016,304,11.0,2.381956838496637,3.0093082096764436,23.72549028900601,0.13085640042493504,-0.19850832524435774,29.27558613754291,False,6.0106162686778735,0.9997586345619869,0.9997586345619869,0.0,0.09066865338488805,0.1075,-0.046905450055852886
2016,304,11.5,1.8970124034897795,3.4074085645366865,23.669700904644635,0.10245708214762879,-0.19996469130804542,29.99090789853755,False,6.010613349638567,0.9997540273105249,0.9997540273105249,0.0,0.09167233948103569,0.107,-0.048391690295205986
2016,304,12.0,1.4729268747318414,4.145348376650416,24.075108908344184,0.1157757879680281,-0.23785794156125528,30.13473943227551,False,6.010613349638567,0.9996146747368075,0.9996146747368075,0.0,0.08675535213232541,0.107,-0.048391690295205986
2016,304,12.5,0.46409357796694195,5.323382023174249,24.161044407824622,0.14902954675796826,-0.27575119181446517,30.41748538173769,False,6.010613349638567,0.9994352242264815,0.9994352242264815,0.0,0.07405752003707436,0.107,-0.048391690295205986
2016,304,13.0,-1.2854851708127093,5.496406994810801,23.660297002617085,0.1541085675928227,-0.31364444206767494,29.887853747434047,False,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.04717207480420496,0.107,-0.048391690295205986
2016.0,304.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.037880093731498865,0.107,-0.048391690295205986
2016.0,304.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.03234795292551713,0.1065,-0.04993231840392216
2016.0,304.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.03864280953940689,0.106,-0.05152959416956806
2016.0,304.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.016024592554375116,0.106,-0.05152959416956806
2016.0,304.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.0,0.106,-0.05152959416956806
