year,doy,hod,A(pmax),E(pmax),Ci(pmax),gs(pmax),Pleaf(pmax),Tleaf(pmax),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(pmax),Es(pmax),sw(pmax),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[MPa],[degC],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
2016.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.117,-0.026615839354367614
2016.0,303.0,0.016666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116983333,-0.026641222798763037
2016.0,303.0,0.033333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116966667,-0.026666632547685743
2016.0,303.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.11695,-0.026692071684910296
2016.0,303.0,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116933333,-0.02671753872115818
2016.0,303.0,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116916667,-0.02674303216050305
2016.0,303.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.1169,-0.026768555096905948
2016.0,303.0,0.116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116883333,-0.026794106036213215
2016.0,303.0,0.133333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116866667,-0.026819683477598694
2016.0,303.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.11685,-0.026845290525247846
2016.0,303.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116833333,-0.026870925680113886
2016.0,303.0,0.183333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116816667,-0.026896587436452655
2016.0,303.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.1168,-0.02692227890871237
2016.0,303.0,0.216666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116783333,-0.026947998592934952
2016.0,303.0,0.233333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116766667,-0.026973744978440115
2016.0,303.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.11675,-0.026999521189977057
2016.0,303.0,0.266666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116733333,-0.027025325718658306
2016.0,303.0,0.283333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116716667,-0.027051157048849125
2016.0,303.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.1167,-0.027077018315638288
2016.0,303.0,0.316666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116683333,-0.027102908005190652
2016.0,303.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116666667,-0.027128824596898634
2016.0,303.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.11665,-0.02715477123622935
2016.0,303.0,0.366666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083156,1.0,1.0,0.0,0.0,0.116633333,-0.027180746404381607
