year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2011.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834014201,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1.8151686171479433,1.0,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,-9999.0,1.8151686171479433,0.9897244068002412,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,10.5,2.881973547223969,0.0,0.0891072,0.0,31.917883654422507,0.0,0.29556447935485375,0.0,0.0,0.0,23.52,0.0,False,0.0,1.8151686171479433,0.9897244068002412,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,11.0,3.186615093820217,0.0,0.0,0.0,32.950631863815744,0.0,0.11174012912768508,0.0,0.0,0.0,24.3,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,1.0,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,12.0,4.02787633536733,0.0,0.22819712,0.0,33.58102065606428,0.0,0.053352058311112505,0.0,0.0,0.0,25.74666667,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,12.5,3.881182652601405,0.0,0.0,0.0,32.585848671903136,0.0,0.051076105455698656,0.0,0.0,0.0,26.38666667,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,13.0,3.2529396015783276,0.0,0.10542720000000001,0.0,32.75872388867795,0.0,0.07606458652770902,0.0,0.0,0.0,27.11666667,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,13.5,3.3086558172347003,0.0,0.13339968,0.0,35.95545388555467,0.0,0.05864302142410614,0.0,0.0,0.0,27.62,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,14.5,3.0811870684167912,0.0,0.15910912,0.0,35.39219542062814,0.0,0.05034342120883653,0.0,0.0,0.0,29.03,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,15.0,2.858521863213537,0.0,0.12681184,0.0,32.86076533590251,0.0,0.052374815030017105,0.0,0.0,0.0,29.43333333,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,15.5,2.7533941934679835,0.0,0.20344512000000003,0.0,21.659844117690923,0.0,0.040586673364705755,0.0,0.0,0.0,30.28333333,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,16.0,2.327746602687449,0.0,0.3060544,0.0,19.177589075986823,0.0,0.048768120547742405,0.0,0.0,0.0,30.55666667,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,16.5,2.42659790056607,0.0,0.25472256000000004,0.0,21.061697223502605,0.0,0.04380642152863613,0.0,0.0,0.0,30.59666667,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
2011.0,1.0,17.0,1.6940331624606455,0.0,0.22470464,0.0,19.156227332505086,0.0,0.03453566951418082,0.0,0.0,0.0,30.89,0.0,False,-9999.0,1.8151686171479433,0.9897244068002412,0.9897244068002412,0.0,0.0,0.0,0.0,0.125523626,0.125523626,-0.4131323,-0.4131323
