year,doy,hod,PPFD,Tair,VPD,Tair_ref,VPD_ref,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,0.002,18.94534683,0.230070248,15.92793036,0.179193789,0.636612677,-5.166761272,8.93,19.38416667,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,91.9177,4.22,25,1.640611112,1.347146,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.31,6.64,11.783054,0.05,2.645608,0.5,2,1,0.1,0.825,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.016666667,0,18.95876884,0.22911088,15.95431137,0.178027431,0.637119479,-5.144235891,8.93,19.38327222,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.033333333,0.001,18.91719627,0.226240623,15.96391964,0.175267372,0.637626281,-5.12171051,8.93,19.38237778,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.05,0,18.9527626,0.226352055,15.95558929,0.174089214,0.638133082,-5.099185129,8.93,19.38148333,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.066666667,0,18.93994617,0.225812066,15.98474407,0.172543861,0.638639884,-5.076659748,8.93,19.38058889,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.083333333,0.001,18.94920254,0.226447824,16.01139545,0.175418586,0.639146686,-5.054134367,8.93,19.37969444,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.1,0,18.92705631,0.225165192,15.9747467,0.174060266,0.639653487,-5.031608986,8.93,19.3788,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.116666667,0.002,18.95604324,0.225595255,15.93059826,0.174581636,0.640160289,-5.009083604,8.93,19.37790556,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.133333333,0,18.96803474,0.225059102,15.97311687,0.175824611,0.640667091,-4.986558223,8.93,19.37701111,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.15,0,18.96308517,0.227796415,15.95232487,0.172513442,0.641173893,-4.964032842,8.93,19.37611667,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.166666667,0,18.90180588,0.228003936,15.89734459,0.170454325,0.641680694,-4.941507461,8.93,19.37522222,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.183333333,0,18.95072937,0.229076428,15.91522551,0.170461412,0.642187496,-4.91898208,8.93,19.37432778,0.093,0.052,NA,NA,5.820626127,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
