year,doy,hod,PPFD,Tair,VPD,Tair_ref,VPD_ref,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,0,16.01699543,0.218642112,15.92793036,0.179193789,0.397364578,-2.496396265,6.28,16.33083333,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,115.6246,4.22,25,1.510315279,1.280022,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.31,6.64,5.425098,0.05,2.93606,0.5,2,1,0.1,0.65125,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.016666667,0,16.02374268,0.217023543,15.95431137,0.178027431,0.397421364,-2.506085344,6.28,16.32607222,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.033333333,0,16.02951241,0.216931115,15.96391964,0.175267372,0.39747815,-2.515774423,6.28,16.32131111,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.05,0,16.02284813,0.21714729,15.95558929,0.174089214,0.397534936,-2.525463502,6.28,16.31655,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.066666667,0,16.02616882,0.217182088,15.98474407,0.172543861,0.397591723,-2.535152582,6.28,16.31178889,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.083333333,0,16.01874065,0.216271326,16.01139545,0.175418586,0.397648509,-2.544841661,6.28,16.30702778,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.1,0.001,16.04800224,0.216365174,15.9747467,0.174060266,0.397705295,-2.55453074,6.28,16.30226667,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.116666667,0.001,16.04225922,0.215477987,15.93059826,0.174581636,0.397762081,-2.564219819,6.28,16.29750556,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.133333333,0,16.03480339,0.215346855,15.97311687,0.175824611,0.397818867,-2.573908898,6.28,16.29274444,0.131,0.129,NA,NA,2.766088027,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
