year,doy,hod,PPFD,Tair,VPD,Tair_ref,VPD_ref,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,0.001,18.91402912,0.368051192,15.92793036,0.179193789,0.338741469,-2.339892059,8.85,19.111,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,91.9177,4.22,25,1.640611112,1.347146,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.31,6.64,5.674876,0.05,2.645608,0.5,2,1,0.1,0.64,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.016666667,0.001,18.90734482,0.367819631,15.95431137,0.178027431,0.337368991,-2.328059133,8.85,19.11085,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.033333333,0.001,18.92836952,0.367276896,15.96391964,0.175267372,0.335996514,-2.316226207,8.85,19.1107,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.05,0,18.90771484,0.366771963,15.95558929,0.174089214,0.334624036,-2.304393281,8.85,19.11055,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.066666667,0.002,18.90260315,0.367009595,15.98474407,0.172543861,0.333251558,-2.292560355,8.85,19.1104,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.083333333,0.002,18.90259552,0.36629576,16.01139545,0.175418586,0.331879081,-2.280727429,8.85,19.11025,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.1,0.001,18.91455746,0.36774267,15.9747467,0.174060266,0.330506603,-2.268894503,8.85,19.1101,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.116666667,0,18.90002441,0.366980332,15.93059826,0.174581636,0.329134125,-2.257061577,8.85,19.10995,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.133333333,0.001,18.91669273,0.365977037,15.97311687,0.175824611,0.327761648,-2.245228651,8.85,19.1098,0.071,0.05,NA,NA,3.64239413,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
