year,doy,hod,PPFD,Tair,VPD,Tair_ref,VPD_ref,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,0,18.92921066,0.229164854,15.92793036,0.179193789,0.565610332,-4.032980183,9.085,18.93883333,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,91.9177,4.22,25,1.640611112,1.347146,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.31,6.64,7.215449,0.05,2.645608,0.5,2,1,0.1,0.65625,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.016666667,0.001,18.90010262,0.225190467,15.95431137,0.178027431,0.56321031,-4.030088382,9.085,18.93870556,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.033333333,0,18.9051857,0.225363103,15.96391964,0.175267372,0.560810288,-4.027196581,9.085,18.93857778,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.05,0.001,18.89879894,0.221973755,15.95558929,0.174089214,0.558410265,-4.024304781,9.085,18.93845,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.066666667,0,18.91032505,0.221702194,15.98474407,0.172543861,0.556010243,-4.02141298,9.085,18.93832222,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.083333333,0,18.9348278,0.221451937,16.01139545,0.175418586,0.553610221,-4.01852118,9.085,18.93819444,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.1,0,18.94577694,0.224314305,15.9747467,0.174060266,0.551210198,-4.015629379,9.085,18.93806667,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.116666667,0,18.94210339,0.222083872,15.93059826,0.174581636,0.548810176,-4.012737578,9.085,18.93793889,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.133333333,0.001,18.96796799,0.222433777,15.97311687,0.175824611,0.546410153,-4.009845778,9.085,18.93781111,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.15,0,18.91282654,0.221118491,15.95232487,0.172513442,0.544010131,-4.006953977,9.085,18.93768333,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.166666667,0,18.96730232,0.222699078,15.89734459,0.170454325,0.541610109,-4.004062177,9.085,18.93755556,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.183333333,0,18.95155334,0.221447155,15.91522551,0.170461412,0.539210086,-4.001170376,9.085,18.93742778,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.2,0,18.94026661,0.220150894,15.9369421,0.170706936,0.536810064,-3.998278576,9.085,18.9373,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.216666667,0,18.91999149,0.217757249,15.9316144,0.169317673,0.534410042,-3.995386775,9.085,18.93717222,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.233333333,0,18.94060993,0.218138819,15.90912247,0.172333208,0.532010019,-3.992494974,9.085,18.93704444,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.25,0,18.93419266,0.216588432,15.89829302,0.169470487,0.529609997,-3.989603174,9.085,18.93691667,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.266666667,0,18.97223091,0.216608186,15.89496088,0.170130585,0.527209975,-3.986711373,9.085,18.93678889,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.283333333,0.001,18.96020508,0.216010151,15.9291153,0.172058636,0.524809952,-3.983819573,9.085,18.93666111,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.3,0.001,18.96554184,0.215939077,15.94660902,0.170179042,0.52240993,-3.980927772,9.085,18.93653333,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.316666667,0.001,18.90757942,0.214021668,15.96410275,0.17157326,0.520009907,-3.978035972,9.085,18.93640556,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.333333333,0,18.94031048,0.213481758,15.96826792,0.16999649,0.517609885,-3.975144171,9.085,18.93627778,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.35,0,18.91268826,0.212034143,15.95906639,0.167428282,0.515209863,-3.97225237,9.085,18.93615,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.366666667,0,18.97499275,0.21293008,15.99068165,0.172283729,0.51280984,-3.96936057,9.085,18.93602222,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.383333333,0,18.90670013,0.21100396,15.98449898,0.170665447,0.510409818,-3.966468769,9.085,18.93589444,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.4,0,18.96684647,0.21355295,15.97450304,0.174869478,0.508009796,-3.963576969,9.085,18.93576667,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.416666667,0,18.9453001,0.211268817,15.97362137,0.175530524,0.505609773,-3.960685168,9.085,18.93563889,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.433333333,0,18.9665184,0.211420117,15.97112226,0.174040944,0.503209751,-3.957793367,9.085,18.93551111,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.45,0,18.94840622,0.211039739,16.00111008,0.173334259,0.500809729,-3.954901567,9.085,18.93538333,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.466666667,0,18.97829056,0.210124993,15.94946432,0.172138167,0.498409706,-3.952009766,9.085,18.93525556,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.483333333,0,18.97006226,0.210375302,15.89759636,0.169097868,0.496009684,-3.949117966,9.085,18.93512778,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.5,0,18.97851753,0.211421271,15.91585588,0.173140046,0.493609661,-3.946226165,9.085,18.935,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.516666667,0,18.96284294,0.210426226,15.90502644,0.171459295,0.490258469,-3.959231409,9.085,18.93355,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.533333333,0,18.97650146,0.210055,15.93501568,0.168277641,0.486907276,-3.972236653,9.085,18.9321,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.55,0,18.9375639,0.209044548,15.9258523,0.170039123,0.483556084,-3.985241897,9.085,18.93065,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.566666667,0,18.95785904,0.207363691,15.90835857,0.169445375,0.480204891,-3.998247142,9.085,18.9292,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.583333333,0,18.90391541,0.207488085,15.9233532,0.16584351,0.476853699,-4.011252386,9.085,18.92775,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.6,0,18.91479492,0.205699727,15.93834782,0.162025714,0.473502506,-4.02425763,9.085,18.9263,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.616666667,0,18.90437889,0.2044804,15.92751837,0.163571599,0.470151314,-4.037262874,9.085,18.92485,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.633333333,0,18.96391106,0.205063679,15.90526676,0.167993217,0.466800122,-4.050268118,9.085,18.9234,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.65,0,18.93307495,0.204870906,15.87906075,0.168616112,0.463448929,-4.063273362,9.085,18.92195,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.666666667,0,18.9583168,0.204005747,15.85237551,0.1675418,0.460097737,-4.076278606,9.085,18.9205,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.683333333,0,18.90358734,0.204453798,15.87312078,0.16670908,0.456746544,-4.08928385,9.085,18.91905,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.7,0,18.90023899,0.20223141,15.87617636,0.167871702,0.453395352,-4.102289095,9.085,18.9176,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.716666667,0,18.88745689,0.201007836,15.92179728,0.169404644,0.450044159,-4.115294339,9.085,18.91615,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.733333333,0,18.89173794,0.199943771,15.91366816,0.170293727,0.446692967,-4.128299583,9.085,18.9147,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.75,0,18.88404274,0.199531581,15.90450478,0.17264317,0.443341774,-4.141304827,9.085,18.91325,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.766666667,0,18.88702011,0.199786998,15.89570379,0.171739605,0.439990582,-4.154310071,9.085,18.9118,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.783333333,0,18.88384819,0.199048586,15.8960824,0.173605875,0.436639389,-4.167315315,9.085,18.91035,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.8,0,18.89541817,0.199013895,15.94856358,0.174855045,0.433288197,-4.180320559,9.085,18.9089,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.816666667,0,18.88537121,0.199744042,15.93273592,0.17119553,0.429937004,-4.193325803,9.085,18.90745,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.833333333,0.002,18.89853001,0.198734307,15.87942171,0.16915438,0.426585812,-4.206331047,9.085,18.906,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,0.85,0,18.89842033,0.199837807,15.90532351,0.171839523,0.423234619,-4.219336292,9.085,18.90455,0.094,0.055,NA,NA,5.230179332,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
